단어,빈도수
노조,3502
파업,2762
임금,917
노동자,800
운행,653
요구,620
교섭,610
총파업,584
조합원,570
버스,561
노동,538
노사,520
정부,516
인력,501
서울,482
택배,475
합의,460
인상,455
지난,454
의료,445
철도,422
병원,396
행위,375
쟁의,371
돌입,368
노총,367
노동조합,366
협상,363
진행,340
민주,333
전국,329
투표,327
입장,315
조정,301
공사,297
시내버스,294
오전,289
측은,285
참여,283
화물,279
문제,278
위해,276
교통,276
운영,271
회사,267
대한,261
서울시,260
이후,256
주장,250
예정,250
대해,250
경우,249
지난해,240
계획,239
상황,238
열차,237
시민,236
책임,235
업무,227
판결,227
위원회,226
안전,225
라며,224
오후,221
대책,219
사업,216
협의,215
건설,215
현장,215
지하철,215
중단,214
개선,214
보건,212
하청,212
이번,210
노선,209
투입,208
연대,207
대법원,206
단체,204
수준,204
금속노조,201
지역,200
사회,198
대통령,194
결정,190
국민,187
부산,184
회의,183
불법,181
통해,178
예고,176
투쟁,175
기준,173
관계자,173
직원,171
한국,171
시간,171
위원장,170
올해,170
