단어,빈도수
노조,1605
파업,1259
임금,806
서울,701
버스,553
시내버스,489
연합뉴스,470
운행,465
기자,454
노사,450
총파업,412
교섭,390
노동조합,375
철도,375
전국,363
협상,329
오전,277
인상,274
돌입,258
조정,256
열차,245
예고,245
광주,238
임단협,237
서울시,226
요구,224
시민,223
통상,222
자동차,212
결렬,210
합의,203
경우,196
조합원,191
오후,183
교통,182
입장,180
예정,175
단체,163
지역,156
측은,155
쟁의,151
회의,150
노동,145
부산,142
진행,141
행위,134
노총,134
계획,132
협약,129
위해,124
창원,123
운영,122
지난,120
대책,120
불편,117
출정,115
이후,115
서울역,112
시간,111
관계자,110
비상,109
위원회,108
동시,108
상황,108
한국,108
노선,105
가운데,104
연맹,103
올해,103
코레일,103
인력,103
중단,103
회사,102
주장,102
울산,101
대비,100
체계,100
지난해,99
공사,98
참여,97
사업,97
결정,95
수송,95
대해,94
노동자,93
운송,93
준공,93
노련,92
투표,92
라며,91
관련,88
개편,88
지방,87
연장,86
문제,86
안전,85
무기한,85
상여금,85
이용,85
이번,83
