단어,빈도수
노조,1289
파업,836
노동자,770
철도,483
투쟁,336
노동,315
조합원,298
임금,292
총파업,291
민주,291
우리,284
요구,283
정부,282
노총,272
라며,270
교섭,256
의료,249
윤석열,244
시민,240
노동조합,238
지난,212
지역,206
지부,191
하청,187
위해,182
사회,174
통해,170
건설,170
위원장,164
병원,161
대해,158
전국,152
한국,152
인상,152
현장,146
진행,145
서울,140
대한,139
문제,136
회사,134
보건,133
부산,128
국민,127
안전,124
인력,123
노사,121
상황,119
주장,114
지금,113
공공,110
이번,107
관련,107
이후,106
협상,104
행위,103
서비스,103
기자회견,101
오전,100
보장,100
운영,100
금속노조,98
본부,97
입장,97
합의,96
오후,95
사람,95
업체,94
경남,93
확대,93
쟁의,93
비정규직,93
대회,92
정책,92
운행,92
민영화,91
플랜트,90
정권,89
충남,89
강조,88
전자,88
측은,88
돌입,87
의원,87
불법,86
고용,86
때문,85
지지,85
촉구,84
차별,83
연대,82
교육,82
위원회,80
시작,80
중단,80
대통령,79
교통,79
단체,79
시간,78
활동,77
위기,76
