단어,빈도수
노조,3109
파업,2335
임금,734
요구,516
노사,501
서울,477
정부,457
지난,420
인상,410
총파업,389
교섭,382
공사,381
조합원,380
교통,371
협상,357
운행,337
회사,317
버스,300
측은,295
한국,294
합의,291
생산,282
인력,276
노동,275
직원,262
입장,255
택배,253
노총,241
화물,233
철도,232
병원,228
민노총,228
돌입,227
오전,226
때문,224
공장,221
상황,219
이번,215
투표,215
지하철,213
위해,213
경제,211
진행,210
오후,209
참여,206
시내버스,206
이후,205
관계자,204
대한,204
전국,203
의료,203
기업,203
쟁의,201
주장,199
단체,199
서울시,191
행위,189
불법,189
대해,188
올해,188
경우,186
민주,184
계획,180
조정,178
시민,177
노동조합,174
라며,171
지급,169
현대차,169
현장,168
투쟁,166
기사,165
국민,164
자동차,160
수준,160
운송,160
지난해,159
연대,157
중단,155
거부,154
대통령,152
열차,149
업체,147
업무,145
위원회,144
지난달,144
문제,144
사업,144
결정,143
성과급,142
예정,140
차질,137
운영,136
결렬,135
예고,134
전체,134
위원장,133
시작,132
대법원,132
근무,132
