단어,빈도수
노조,4143
파업,3099
임금,973
노사,704
총파업,635
교섭,628
요구,626
협상,618
병원,578
지난,576
정부,570
조합원,556
의료,553
인상,546
합의,532
서울,506
노총,480
운행,473
인력,459
버스,437
철도,429
민주,424
택배,406
노동,402
상황,396
측은,395
노동조합,394
쟁의,385
대해,377
진행,372
돌입,371
한국,364
입장,355
현대차,354
생산,349
투표,348
전국,348
참여,338
주장,332
삼성,313
화물,308
조정,307
부산,306
이번,302
교통,302
올해,299
지난해,299
오후,299
관계자,296
오전,296
공사,296
회사,294
행위,280
결정,278
위원회,274
경우,273
대한,273
보건,271
이후,266
라며,265
위해,264
노동자,259
단체,256
예정,254
때문,254
기업,253
투쟁,247
문제,243
환자,241
열차,240
계획,239
업무,236
운영,234
자동차,233
사업,233
직원,233
공장,232
현대,231
우려,226
산업,225
시간,225
지하철,225
대통령,223
지난달,221
서울시,221
기준,220
거부,217
운송,217
예고,216
국민,216
불법,213
관련,211
경제,211
차질,209
시작,208
현장,207
시민,207
연대,205
시내버스,202
내용,195
