단어,빈도수
노조,1966
파업,1649
임금,626
노동자,548
정부,451
요구,433
총파업,419
교섭,415
의료,399
기자,385
노동,380
조합원,371
회사,349
노동조합,344
인력,331
노사,307
지난,302
버스,294
서울,278
운행,278
병원,276
철도,274
노총,269
화물,255
전국,251
인상,250
민주,241
행위,229
합의,227
업무,217
협상,216
진행,215
대해,213
쟁의,210
대한,205
보건,202
연대,200
서울시,198
교통,196
공사,191
위해,186
상황,186
돌입,186
주장,186
조정,182
금속노조,181
하청,178
위원회,176
안전,174
참여,174
사업,170
대통령,169
이번,167
문제,166
라며,161
입장,159
지난해,154
운영,153
투표,152
시내버스,147
계획,147
부산,146
시민,145
관련,145
불법,145
광주,144
단체,143
투입,143
본부,142
국민,141
건설,139
앞서,137
통상,137
경우,136
협의,136
한국,135
윤석열,134
이후,132
예정,130
환자,126
통해,125
유지,125
사회,124
투쟁,123
지하철,123
현장,122
지급,121
대화,121
예고,120
운수,118
오후,118
방송,118
서비스,117
결정,117
협약,117
산업,116
간호사,116
회의,115
대책,115
때문,114
