단어,빈도수
장애인,3704
장연,2379
시위,1764
대표,1672
지하철,1411
권리,1019
차별,876
사회,868
시민,862
서울,843
공사,800
집회,795
연대,772
예산,769
교통,721
시설,689
사람,683
경찰,659
요구,613
대한,613
전국,562
철폐,557
지난,542
보장,536
정부,535
국민,531
생각,530
대해,528
활동가,509
문제,504
서울시,484
지원,473
탑승,471
우리,469
동권,463
장애,446
의원,441
여성,410
출근길,403
단체,392
국회,383
정치,381
라며,380
애인,374
대통령,367
호선,350
위해,341
혐오,341
때문,339
휠체어,329
관련,328
투쟁,327
정책,324
활동,313
오전,311
이유,297
박경석,289
지난해,289
약자,287
후보,286
열차,284
이동,279
주장,279
이후,270
이준석,265
비판,265
상황,261
한국,255
운행,244
버스,241
지금,235
탄핵,232
윤석열,232
시간,231
면담,230
상임,225
시장,225
인권,224
통해,223
다른,222
목소리,222
자신,222
방식,222
지연,219
지역,218
시작,217
기자회견,216
발언,215
승강장,215
불법,214
참여,213
민주당,212
현장,211
촉구,210
이야기,209
경찰서,208
진행,207
일자리,207
통과,204
대응,204
