단어,빈도수
장연,1185
시위,1153
장애인,977
지하철,869
대표,518
호선,453
열차,367
서울,349
오전,342
시민,317
예산,295
공사,280
차별,270
교통,270
출근길,270
운행,267
탑승,266
전국,262
지연,261
연대,258
철폐,246
요구,222
권리,200
경찰,189
진행,185
서울시,181
집회,175
대해,163
단체,153
정차,147
삼각지역,132
시장,132
불편,130
하차,129
통과,126
관계자,125
승강장,123
국민,123
보장,122
라며,119
재개,118
대한,117
중단,111
통해,111
시설,111
의원,108
면담,106
주장,105
위해,104
박경석,101
이준석,101
비판,101
입장,101
지원,98
측은,97
오후,97
동권,97
휠체어,96
대통령,95
사회,94
국회,91
예정,90
경우,90
혜화역,85
인수위,85
지난,84
이후,82
정부,80
관련,80
발생,79
이동,79
달라,78
역사,74
방식,72
출근,72
사과,72
촉구,70
기자회견,70
시간,69
문제,69
불법,67
이용,66
상황,65
일부,65
지난해,64
결정,64
예고,64
오세훈,62
투쟁,62
전날,61
서울시장,61
버스,60
요청,59
안전,59
우리,59
활동가,58
대응,58
위원회,58
이상,56
과정,56
