단어,빈도수
장연,1490
장애인,1249
서울,1075
지하철,1001
시위,942
차별,580
대표,577
철폐,547
연대,527
전국,522
공사,512
연합뉴스,493
기자,481
탑승,454
오전,419
경찰,355
교통,354
호선,343
승강장,318
권리,269
예산,253
열차,245
출근길,222
박경석,222
서울시,219
운행,200
요구,199
혜화역,197
기자회견,192
회원,185
오후,180
지연,176
단체,166
면담,166
혐의,164
시민,163
활동가,162
삼각지역,159
시설,158
보장,151
집회,145
시장,145
주장,144
촉구,140
안전,133
관련,132
대한,129
통과,121
이동,117
관계자,115
시청역,115
지난,114
정차,113
퇴거,111
동권,111
불법,110
중단,109
방해,109
종로구,109
요청,109
체포,108
대해,108
재개,100
조사,98
시도,95
국회,94
위해,94
소송,93
위반,92
라며,92
행위,91
역사,90
차례,86
버스,85
철도,84
경찰서,84
과정,84
정부,83
오세훈,83
상임,82
대응,80
앞서,80
사회,79
이후,79
예정,78
정안,78
국민,77
전날,77
손해배상,74
서울시장,72
투쟁,69
강제,69
진행,69
지원,68
연행,67
지난달,67
특별,67
사업,67
일자리,66
휠체어,64
