단어,빈도수
장애인,1201
사회,522
사람,452
장연,431
권리,404
우리,396
시민,377
시설,338
시위,313
지하철,313
연대,284
생각,263
문제,255
후보,252
노동,236
차별,235
집회,235
애인,234
정치,233
대표,230
윤석열,226
서울,222
위해,214
투쟁,212
지원,202
대한,193
일자리,193
노동자,190
이야기,188
여성,184
활동,183
국민,179
지금,178
라며,172
지난,165
경찰,157
요구,157
보장,156
정부,156
장애,156
교통,153
때문,152
한국,151
대해,142
지역,142
전국,140
예산,139
사진,139
시작,134
중심,134
발언,132
목소리,130
동권,130
서울시,130
행동,129
혐오,128
철폐,127
활동가,126
보기,125
다른,124
대통령,123
비장,118
인권,118
운동,116
자신,115
휠체어,115
증장,113
정책,111
이동,109
역사,107
공사,104
통해,102
다시,102
이후,102
진행,101
민주당,100
시간,98
모두,96
이유,95
광장,94
참여,94
민주주의,94
주장,93
세상,93
공감,92
현장,91
약자,90
하나,89
의원,88
학생,86
계속,86
단체,86
오세훈,86
박경석,84
상황,83
탄핵,83
사업,82
과정,81
이준석,78
내란,78
