단어,빈도수
장연,1845
장애인,1576
시위,1416
지하철,1189
대표,737
서울,635
시설,503
호선,441
시민,438
열차,410
경찰,404
교통,397
오전,382
탑승,377
집회,366
차별,353
서울시,351
출근길,344
공사,342
연대,340
전국,327
철폐,321
지난,314
대해,301
지연,298
휠체어,297
운행,290
예산,276
요구,252
단체,249
권리,242
진행,236
관계자,229
의원,227
불법,220
승강장,209
라며,206
사람,203
오후,202
삼각지역,190
버스,185
국민,183
대한,182
동권,177
사회,165
관련,165
문제,165
조사,165
주장,157
보장,157
정부,155
불편,154
때문,153
방식,145
박경석,144
이동,142
비판,139
설치,130
시작,130
기자회견,129
방해,128
시장,127
국회,125
활동가,122
이후,122
다른,122
위해,119
지원,117
이준석,117
시청역,116
중단,116
노조,116
예정,115
타고,115
측은,109
대통령,108
생각,108
일부,107
우리,106
정치,105
점거,103
상황,103
면담,103
이용,102
혐의,102
정책,101
혜화역,100
자신,100
경우,98
통해,97
안전,97
엘리베이터,97
앞서,95
천막,95
활동,95
재개,94
입장,93
과정,93
역사,92
정차,92
