단어,빈도수
장애인,1259
장연,1248
시위,950
대표,864
지하철,710
서울,348
예산,325
차별,324
공사,318
호선,295
연대,287
전국,276
시민,273
시설,271
국민,270
출근길,267
철폐,264
지난,256
대해,254
교통,251
요구,246
의원,233
권리,222
열차,220
오전,215
운행,213
경찰,191
대한,190
서울시,189
사회,181
라며,177
이준석,174
지연,172
관련,171
탑승,163
문제,161
단체,155
비판,152
동권,151
민주당,150
보장,147
주장,145
정부,140
지원,136
집회,135
진행,127
시장,126
이후,116
사람,116
발언,115
입장,113
불편,113
휠체어,113
관계자,111
위해,111
조사,110
중단,108
통해,107
국회,107
재개,103
때문,103
시간,103
오후,102
면담,101
상황,100
승강장,100
대통령,100
예정,98
생각,94
방식,94
통과,93
촉구,93
삼각지역,93
앞서,91
수사,90
약자,87
지난달,87
정차,87
박경석,86
인수위,86
사과,85
현장,80
우리,80
개혁,79
다른,79
정치,78
혐의,78
측은,77
장애,76
버스,75
지난해,75
위원장,75
불법,74
방해,74
정책,74
경우,74
신당,73
윤석열,72
발생,72
위원회,71
