단어,빈도수
장애인,3114
장연,2126
대표,1373
지하철,1314
시위,1260
권리,754
서울,737
차별,681
시민,625
연대,622
경찰,613
사회,609
교통,594
예산,588
공사,573
요구,521
전국,500
단체,488
철폐,481
기자,475
사람,443
집회,441
대한,438
동권,435
활동가,431
시설,429
지난,427
문제,397
보장,396
정부,391
대해,377
출근길,362
우리,362
생각,360
서울시,354
국민,353
대통령,326
호선,326
탑승,326
박경석,319
지원,318
위해,310
의원,306
인권,299
휠체어,293
혐오,285
이준석,280
국회,276
진행,272
애인,269
이동,261
열차,258
투쟁,258
장애,250
한국,242
라며,236
비판,232
관련,231
때문,231
발언,229
활동,227
정치,222
주장,222
상임,219
여성,215
윤석열,214
승강장,206
이유,205
후보,203
정책,203
시작,202
약자,201
자신,197
다른,195
엘리베이터,195
면담,182
기자회견,182
상황,181
지금,181
역사,181
한겨레,177
현장,176
노동자,175
과정,174
입장,172
위원회,172
버스,169
시간,167
시장,167
통해,166
행위,166
위원,165
목소리,164
이야기,164
운행,164
인권위,164
위원장,163
아침,162
조사,162
촉구,162
