단어,빈도수
원전,3429
정부,1358
정책,1144
에너지,813
호기,565
대통령,536
전력,514
산업,490
발전,443
후보,416
원자력,413
건설,412
재생에너지,411
국민,411
문제,403
한국,401
가동,384
문재인,378
계획,352
대한,331
감사,319
전환,317
때문,315
대해,310
위해,298
추진,296
지난,292
사업,277
한전,259
독일,250
우리,246
주장,240
감사원,239
라며,238
의원,235
장관,232
경제,231
국가,230
관련,228
사고,225
한울,224
탄소,224
전기요금,224
결정,222
윤석열,221
비용,220
비중,216
지난해,215
비판,211
확대,208
기업,203
석탄,200
산업부,199
세계,194
민주당,194
공약,192
이후,191
월성,191
지금,184
기술,184
안전,183
결과,182
기후,181
위원회,181
인상,181
수출,178
평가,177
환경,176
중단,176
정치,174
태양광,172
사용,168
상황,165
발표,165
운영,165
지역,164
일본,162
지원,161
가격,161
후쿠시마,160
총리,160
사회,156
위기,154
폐쇄,152
가장,149
적자,147
중립,146
국내,146
미국,146
사실,145
전기,145
생산,142
신규,142
올해,140
통해,140
계속,139
대표,139
대선,138
당시,138
과정,137
