단어,빈도수
원전,2882
정부,1546
정책,1074
대통령,791
국민,711
호기,604
문재인,579
에너지,570
산업,541
건설,445
원자력,442
후보,405
한국,397
전력,377
대표,367
사업,365
관련,359
대해,350
발전,336
민주당,310
기업,293
대한,285
위해,275
계획,274
문제,271
국가,269
라며,266
장관,262
추진,252
정권,245
지난해,237
월성,237
때문,232
감사,232
의원,232
기술,227
우리,226
산업부,224
탄소,222
한수원,221
국회,219
가동,219
한울,215
윤석열,207
경제,206
전기요금,205
대선,200
검찰,200
감사원,198
수사,196
시장,194
공사,193
지원,193
비용,190
독일,189
결정,189
정치,187
예산,186
관계자,186
국내,182
비판,182
평가,182
폐쇄,182
최근,181
세계,181
이번,181
수출,181
중단,180
위원회,179
조기,179
확대,178
체코,176
통상,175
강조,171
인사,169
유럽,166
비중,165
인상,165
통해,165
공급,164
운영,160
이후,159
과정,158
지적,157
지역,156
시작,154
생산,154
상황,153
중립,153
국정,153
사람,152
지금,150
올해,150
규모,148
결과,148
이상,147
사용,146
신규,145
지난,143
계속,143
