단어,빈도수
원전,1718
정부,550
정책,440
에너지,365
산업,324
후보,268
가동,259
원자력,254
전력,234
호기,224
건설,222
대통령,220
독일,211
발전,184
국민,176
계획,170
문재인,166
의원,161
연합뉴스,158
추진,152
민주당,150
관련,138
한울,138
재생에너지,123
중단,122
서울,122
기자,117
라며,117
사업,112
장관,111
대해,111
윤석열,107
위해,102
지적,102
지난,96
기술,95
대한,95
우리,95
국가,94
문제,92
세계,91
기업,90
한국,90
운영,88
수출,88
강조,86
확대,86
이후,84
전기요금,84
감사,83
인상,82
주장,81
상황,79
비용,78
탄소,75
비중,75
비판,74
연장,74
생태계,74
공급,73
규모,73
원자로,72
결정,71
생산,70
통상,69
한전,68
가스,68
국회,67
폐기,67
결과,64
시장,64
지원,64
올해,63
평가,63
이재명,63
지난해,62
안전,61
위기,61
계속,59
개발,58
미국,58
월성,56
대표,56
허가,55
경제,55
태양광,54
가격,54
공약,54
신규,54
산업부,54
시간,53
사고,53
회의,53
사장,52
체코,52
사회,52
최근,51
방향,51
가장,51
현재,51
