단어,빈도수
원전,1072
정부,483
국민,343
대통령,327
정책,319
문제,312
후보,291
지역,250
윤석열,242
우리,238
기후,222
민주당,217
정치,217
산업,213
에너지,196
대한,195
한국,188
생각,188
라며,188
주민,187
후쿠시마,180
원자력,168
발전,162
관련,159
재생에너지,154
국회,152
사회,150
대해,148
국가,148
지난,146
위해,146
지금,142
건설,135
때문,134
위기,134
계획,131
의원,131
주장,126
환경,125
일본,125
사고,124
경제,120
기업,119
대표,119
사람,117
추진,114
시민,114
공약,110
오염수,108
사업,107
비판,104
반도체,104
상황,102
이번,102
정당,101
핵발전소,99
지원,99
사실,95
체코,95
강조,93
개혁,93
한수원,92
호기,92
세계,92
발표,92
안전,92
문재인,90
경남,86
대응,84
전력,83
예산,83
지적,82
수출,82
선거,81
탈핵,79
총선,79
이후,78
계속,78
확대,77
대한민국,77
통해,76
민생,76
기술,76
전환,74
규제,74
사용,73
가장,73
탄소,73
미국,72
시작,71
정권,71
미래,70
독일,70
진행,70
방류,70
현재,68
반대,68
하나,68
기자,67
수주,67
