단어,빈도수
원전,3868
정부,1323
정책,1019
호기,753
전력,728
에너지,656
건설,527
대통령,516
계획,483
원자력,482
가동,431
산업,405
발전,391
문재인,369
탄소,359
지난,357
국민,355
전기,322
한국,306
한울,300
한수원,274
중립,273
추진,267
월성,258
사업,253
대한,243
감사,232
위해,231
인상,225
국가,224
문제,222
관련,222
전기요금,219
세계,218
기술,217
대해,213
미국,212
한전,212
우리,210
산업부,209
때문,209
지난해,202
중단,200
태양광,199
요금,196
이후,193
비용,187
재생에너지,186
공급,184
라며,176
장관,175
기업,174
폐쇄,174
대만,173
경제,166
상황,164
사장,162
대표,161
후보,159
국내,158
운영,158
수요,157
수급,155
발표,155
설비,153
신규,153
이상,153
독일,153
결정,152
확대,152
정권,151
지적,150
사실,149
민주당,149
교수,149
공사,147
석탄,147
작년,146
감사원,145
수출,144
평가,144
업체,142
의원,141
현재,141
풍력,139
가격,138
시작,137
최근,136
올해,136
개발,135
규모,133
생태계,130
당시,129
이번,128
경제성,128
폐기,125
전망,125
윤석열,125
비판,125
수준,124
