단어,빈도수
원전,5571
정부,2337
정책,1901
원자력,1259
호기,1244
에너지,1134
대통령,973
건설,895
한국,855
산업,798
국민,773
문재인,752
전력,720
발전,691
계획,679
관련,614
지난,586
월성,581
사업,559
한수원,536
대한,533
가동,532
문제,528
후보,507
때문,506
한울,500
감사,496
지난해,487
탄소,473
추진,465
전기요금,434
대해,432
산업부,428
의원,421
기술,419
교수,406
위해,401
인상,394
장관,391
결정,391
비용,390
국가,378
미국,374
폐쇄,366
한전,364
민주당,352
세계,344
라며,337
감사원,334
중립,330
중단,324
이후,321
상황,319
결과,318
석탄,315
정권,314
수출,309
우리,308
경제,306
평가,305
주장,302
대표,297
지적,278
신규,277
공급,276
조기,270
기업,269
발표,266
위원회,266
운영,266
비판,264
통상,263
최근,262
당시,262
이번,259
지원,258
계속,257
전환,256
적자,255
확대,251
윤석열,251
전기,250
비중,249
사용,249
사장,245
관계자,241
경제성,240
사실,237
청와대,236
검찰,235
올해,233
대선,233
과정,233
재생에너지,232
독일,229
국내,227
이상,225
이유,225
국회,223
통해,221
