단어,빈도수
원전,3391
정부,1204
정책,916
에너지,846
재생에너지,625
전력,561
원자력,483
호기,481
계획,468
대통령,465
후보,447
발전,420
산업,415
건설,410
한국,379
문제,362
기후,356
대한,356
감사,348
탄소,332
윤석열,325
가동,310
국민,308
문재인,305
독일,295
때문,294
위해,290
지역,285
지난,269
국가,268
위기,267
전환,266
기자,261
대해,255
비중,252
관련,249
확대,240
주장,231
태양광,230
중립,224
민주당,223
추진,219
이후,216
검찰,215
경제,210
결정,205
지난해,204
정치,204
상황,201
환경,201
운영,198
세계,196
비용,194
수사,192
우리,190
대선,188
안전,188
지원,186
목표,185
사업,185
기술,185
공약,185
석탄,181
비판,181
전기요금,180
사회,179
대표,178
위원,175
기본,172
한울,171
신규,167
위원회,163
사고,161
공급,159
발표,158
대응,158
사실,154
의원,154
미국,153
월성,151
평가,150
보수,149
라며,147
현재,146
정권,146
원자로,146
폐쇄,146
감사원,146
포함,143
과정,142
언론,141
이유,140
수출,140
산업부,140
계속,139
지적,138
생산,138
내용,136
연장,135
시작,134
